user_id,tweet_id,tweet,created
59082722,12516928759,"All the software you can use; valued at $213,997 when you join, hundreds of thousands of leads too! Check it out: http://simurl.com/mukzif",2010-04-20
143312821,17641269258,"Website Hosting Design  error",2010-07-03
116474820,12658010287,"How long does Clegg think it would take to design, test and build a Trident replacement? 8 years or 8 days?#debate... http://bit.ly/adg70K",2010-04-22
26316142,7330687911,"RT @ClubFemina Proofs of who was Jesus http://twittley.com/r/8e9brz3dnt25 #fun #humor #funny #jokes #joke",2010-01-03
100165525,7243856803,"Hey It Is Lunch time folks, time to find something to eat. BRB in a few.",2009-12-31
39119161,4712395958,"Blue Bar show was awesome last night! lots of fun. Thx to everyone who made it out!",2009-10-08
94402031,14185597159,"The great Zoltar will tell you your fortune... (22:52)",2010-05-17
28565174,6884234361,"Kano Travel Tour Guide — Amustic Exotic Tours, Exotic Vacations, Exotic Holidays http://bit.ly/8lC2Rp",2009-12-20
57857267,11462265964,"and now once again, Join Now and you will got pasive income to your account Paypal or other HERE to JOIN http://scrnch.me/i54ew",2010-04-01
123351694,12491170194,"underground affiliates marketing classroom How do i get free traffic for the internet marketing system at  :O http://bit.ly/cnGsLj",2010-04-19
124319561,17208379958,"Finally finished!!!!!!!!!!!!!! Mental note (that is if I have any mental faculties left) NO MORE Q&A Projects - EVER!",2010-06-27
56477852,3930071116,"Take a look at this new opportunity with Clickety-Split http://bit.ly/AlrOU",2009-09-12
90810313,8034885152,"has just release a great offer for your gift on http://bit.ly/5i4Kg5",2010-01-21
125150954,11554910166,"insulin resistance http://bit.ly/aVI74w 17 Tips to Keeping Fit and Losing Weight :O",2010-04-03
56767025,3061019651,"Just got back from a wonderful dinner with my hubby!!",2009-07-31
78815417,11524608764,"Dwyane Wade scores 43 as Heat get overtime win in Indiana:                                            More photos ... http://bit.ly/corvX7",2010-04-03
21356017,8419732149,"You can make money on the internet too - seriously! http://bit.ly/91yTzY",2010-01-30
123355972,12422016230,"seo news TechRadars 10 Essential Free SEO tools to Boost Traffic http://bit.ly/cxQO0y :O",2010-04-18
95380375,6786751939,"well twitterverse & friends I'm going to bed!!! I have a busy weekend of replying to my DM's so I need to get some rest!!!",2009-12-17
29315030,5305822902,"Build a website that will generate a lifetime of free traffic. I did. http://www.AlwaysEBiz.com",2009-10-30
68561896,9083019132,"Hickory hickory dock. The mouse ran up the clock The clock struck one But the rest got away with minor injuries",2010-02-13
30466909,5469300348,"Top MP3-Alben #1: Reality Killed The Video Star (Exklusiv bei Amazon.de inkl. Bonus-Track) http://ow.ly/15ZN7K",2009-11-05
55662012,6660374692,"Updated The Jazz Lady's Lesbian Teens porn blog, w/ blonde Euro lesbians fucking w/ sex toys RTA http://bit.ly/DGita #porn #lesbian #sex",2009-12-14
19042940,8083927007,"Read a great article by Maggie Hollander at The Eagle: http://bit.ly/8mnoMn",2010-01-22
151937877,17042926735,"HIT - 100 FREE MORE TWITTER FOLLOWERS! http://tinyurl.com/3985y7b",2010-06-25
55372295,16105404586,"@bonzdude hmmmmmmmmm enjoyment",2010-06-13
41385556,4754694805,"If you like Gracie Jiu Jitsu, follow @GracieBrothers",2009-10-10
