614	2006-07-13 15:30:05	2009-11-20 23:56:21	510	350	3265	10	34
1038	2006-07-15 16:12:15	2009-11-16 05:12:11	304	443	4405	7	156
1437	2006-07-16 12:29:24	2009-11-16 16:25:12	45	73	725	6	37
2615	2006-07-19 23:23:55	2009-11-27 18:34:36	211	230	211	7	0
3148	2006-07-26 14:17:22	2009-11-20 17:35:18	7346	7244	11438	8	97
5593	2006-09-08 10:58:49	2009-11-24 06:08:27	898	1024	2897	8	56
9375	2006-10-18 09:58:09	2009-11-18 04:07:12	53	131	566	9	11
10336	2006-10-24 10:05:24	2009-11-17 16:32:35	754	4103	6181	6	0
10455	2006-10-25 04:02:13	2009-11-15 02:51:26	140	222	1192	9	15
10698	2006-10-26 19:04:29	2009-11-16 02:20:01	140	1329	17457	8	63
11718	2006-11-07 14:02:03	2009-11-24 13:41:16	254	3639	8245	11	31
12527	2006-11-15 09:13:50	2009-11-27 17:29:53	108	92	815	12	49
13602	2006-11-21 13:27:43	2009-11-29 07:08:59	145	395	7468	6	28
15313	2006-11-22 09:20:12	2009-11-14 05:55:52	189	1665	3180	9	20
16683	2006-11-22 19:16:32	2009-11-13 08:35:18	70	322	4458	8	75
17363	2006-11-23 02:05:21	2009-11-18 01:33:20	277	868	4693	10	128
21833	2006-11-25 09:10:53	2009-11-13 04:22:28	87	94	269	8	18
25723	2006-11-27 15:40:13	2009-11-14 03:38:29	242	722	16787	7	139
32613	2006-11-30 12:03:39	2009-11-27 10:50:31	182	490	8384	15	51
46183	2006-12-06 12:46:08	2009-11-18 19:01:28	71	174	300	13	110
47203	2006-12-06 22:15:45	2009-11-14 01:53:53	259	485	4605	3	25
50263	2006-12-08 05:45:09	2009-11-29 05:55:58	130	150	3498	4	117
56733	2006-12-10 23:31:28	2009-11-24 23:49:59	672	780	6795	8	0
60663	2006-12-12 08:22:13	2009-11-21 22:38:21	2855	5413	21166	12	158
63093	2006-12-13 03:20:17	2009-11-20 03:37:49	133	160	549	7	11
157763	2006-12-22 06:54:25	2009-11-16 21:09:59	262	325	2701	6	0
198623	2006-12-23 10:18:05	2009-11-26 07:58:23	152	249	2871	8	69
304713	2006-12-27 19:26:47	2009-11-23 11:39:43	235	385	50356	6	85
451373	2007-01-02 07:13:51	2009-11-22 10:04:15	315	198	4694	9	84
627303	2007-01-11 16:19:38	2009-11-15 16:01:01	234	1845	5411	7	70
638323	2007-01-15 14:15:11	2009-11-25 00:08:09	191	1014	11653	6	35
639393	2007-01-15 15:45:07	2009-11-15 19:03:38	127	151	3116	6	76
642373	2007-01-15 19:33:51	2009-11-21 03:44:00	250	289	4238	7	75
647073	2007-01-16 10:27:27	2009-11-24 03:23:27	350	488	2458	9	149
653843	2007-01-17 05:16:23	2009-11-27 06:40:26	58	202	3876	4	26
659203	2007-01-18 01:22:33	2009-11-27 19:24:26	13	43	640	7	0
660183	2007-01-18 08:21:56	2009-11-25 03:47:26	41	66	808	8	0
665333	2007-01-19 09:41:19	2009-11-15 10:05:26	165	396	5245	13	28
666633	2007-01-19 12:32:48	2009-11-22 08:32:38	279	450	1900	6	73
674433	2007-01-21 02:38:07	2009-11-14 11:06:23	35067	35122	24670	12	105
678323	2007-01-21 20:32:38	2009-11-22 08:27:46	1001	885	8324	7	67
680873	2007-01-22 08:35:23	2009-11-16 06:59:39	321	506	5837	9	101
702363	2007-01-25 11:42:20	2009-11-16 19:39:25	37	10	679	7	7
708623	2007-01-26 08:46:51	2009-11-27 12:51:12	101	128	2636	7	41
709433	2007-01-26 11:00:56	2009-11-15 12:40:34	346	297	4619	5	28
713093	2007-01-27 00:59:56	2009-11-18 10:45:09	75	64	1709	8	35
716013	2007-01-27 15:17:16	2009-11-20 09:51:30	148	107	1821	12	27
720043	2007-01-28 10:27:31	2009-11-14 19:58:12	172	188	2995	14	24
727053	2007-01-29 11:37:08	2009-11-12 23:10:36	310	616	9006	9	159
735513	2007-01-30 20:17:48	2009-11-26 21:08:24	76	221	1369	4	22
738693	2007-01-31 10:51:50	2009-11-16 01:03:18	1	4721	20970	7	90
746493	2007-02-02 00:08:43	2009-11-29 01:25:27	0	0	121	9	0
750963	2007-02-03 03:10:08	2009-11-12 16:47:37	60	56	192	3	0
751443	2007-02-03 06:33:13	2009-11-21 08:33:37	106	1277	1058	3	24
755113	2007-02-05 23:17:19	2009-11-20 10:30:35	309	3663	12927	9	120
756206	2007-02-07 12:31:57	2009-11-24 16:13:45	29	9	38	11	0
758371	2007-02-08 13:46:46	2009-11-13 03:14:28	222	257	4051	15	147
761223	2007-02-09 14:05:07	2009-11-25 02:52:54	425	598	2936	13	46
761483	2007-02-09 16:16:40	2009-11-12 18:03:18	1347	1706	26073	9	65
766658	2007-02-12 00:44:23	2009-11-20 16:54:06	388	263	9326	8	0
